credibility_score,credibility_vs_reconstructed_delta,evidence_asr_tokens,evidence_caption_tokens,evidence_level,evidence_ocr_tokens,evidence_quality_score,evidence_total_tokens,evidence_transcript_tokens,generation_origin_excluded_from_credibility,generation_origin_level,generation_origin_rationale,generation_origin_score,manipulation_score,misinformation_score,notes,reconstructed_credibility_score,scam_score,top_claim_confidence,top_claim_status,uncertainty_score,url,weighted_evidence_quality_penalty,weighted_manipulation_penalty,weighted_misinformation_penalty,weighted_scam_penalty,weighted_total_penalty,weighted_uncertainty_penalty
56.34,-16.6708,0,17,low,0,76.38,17,0,True,low,Human-generated content likely.,1.24,0.0,20.64,Applied sparse-text score calibration to reduce flat scoring under limited extracted evidence. | Generation origin score calibrated by trained logistic model. | OpenAI claim verification skipped because extracted evidence was too thin; using heuristics. | Sparse extracted text; not_enough_evidence may remain appropriate. | Analysis-confidence score: 20.64. | Evidence-quality penalty score: 76.38.,73.01,10.0,0.52,not_enough_evidence,70.05,https://www.instagram.com/reel/DVQUiv8Eoev/?igsh=NjFhOGMzYTE3ZQ==,9.1656,0.0,7.0176,2.4,26.9892,8.406
74.65,-13.5364,0,70,medium,0,41.23,70,0,True,low,Human-generated content likely.,1.57,0.0,6.5,Generation origin score calibrated by trained logistic model. | Claim verification attempted via OpenAI with heuristic fallback. | Rich text context detected (transcript/OCR); thresholds tuned to reduce unnecessary not_enough_evidence. | Analysis-confidence score: 62.59. | Evidence-quality penalty score: 41.23. | Extracted evidence token count: 70.,88.19,10.0,0.55,supported,18.8,https://www.tiktok.com/@reuters/video/7589372207017626894,4.9476,0.0,2.21,2.4,11.8136,2.256
56.44,-16.7452,0,19,low,0,76.08,19,0,True,low,Human-generated content likely.,1.27,0.0,20.48,Applied sparse-text score calibration to reduce flat scoring under limited extracted evidence. | Generation origin score calibrated by trained logistic model. | Claim verification used open-source evidence heuristics. | Sparse extracted text; not_enough_evidence may remain appropriate. | Analysis-confidence score: 20.96. | Evidence-quality penalty score: 76.08.,73.19,10.0,0.56,not_enough_evidence,69.35,https://www.youtube.com/shorts/AlmK64-o8d4,9.1296,0.0,6.9632,2.4,26.8148,8.322
