error,url
curl: (6) Could not resolve host: crediclip-axraza-msba.fly.dev,https://youtube.com/shorts/jp-KAhyWcyI?si=o1hTfaxIQ050q3a9
curl: (6) Could not resolve host: crediclip-axraza-msba.fly.dev,https://youtube.com/shorts/pxdbj0Gj0hY?si=7IzqxwIVfNjmVLcA
curl: (6) Could not resolve host: crediclip-axraza-msba.fly.dev,https://youtube.com/shorts/F3iaZ1bpw38?si=fDftXyNst02IleUO
curl: (6) Could not resolve host: crediclip-axraza-msba.fly.dev,https://youtube.com/shorts/0sK5IC5ry2E?si=gZBdsWSNhFQnGao2
curl: (6) Could not resolve host: crediclip-axraza-msba.fly.dev,https://youtube.com/shorts/WV8FnjmeOTM?si=mime_dElzLIMwhdq
curl: (6) Could not resolve host: crediclip-axraza-msba.fly.dev,https://youtube.com/shorts/U7O35LKz5JY?si=usCpLpXwQK3F9Gz_
