video_id,canonical_url,first_seen_utc,last_seen_utc,attempt_count,scored_count,error_count,first_score_utc,first_credibility_score,latest_score_utc,latest_credibility_score,improvement_points_latest_minus_first,improvement_percent_latest_vs_first,best_credibility_score,worst_credibility_score,first_generation_origin_score,latest_generation_origin_score,trend,sample_raw_url,source_files_count
7_2X9jt3-1w,https://www.youtube.com/shorts/7_2X9jt3-1w,2026-03-03T11:29:05Z,2026-03-03T11:29:22Z,2,2,0,2026-03-03T11:29:05Z,67.98,2026-03-03T11:29:22Z,67.98,0.0,0.0,67.98,67.98,1.3,1.3,no_change,https://www.youtube.com/shorts/7_2X9jt3-1w,2
7aE4EhHXzlA,https://www.youtube.com/shorts/7aE4EhHXzlA,2026-03-03T14:11:30Z,2026-03-04T11:16:24Z,2,1,1,2026-03-04T11:16:24Z,67.46,2026-03-04T11:16:24Z,67.46,0.0,0.0,67.46,67.46,,,no_change,https://youtube.com/shorts/7aE4EhHXzlA,2
7h_rLG16-sk,https://www.youtube.com/shorts/7h_rLG16-sk,2026-03-05T11:09:31Z,2026-03-10T08:35:07Z,17,4,10,2026-03-05T11:42:20Z,67.66,2026-03-05T14:08:29Z,67.66,0.0,0.0,67.66,67.66,1.3,1.3,no_change,https://www.youtube.com/shorts/7h_rLG16-sk,17
7oQmTCL5LpM,https://www.youtube.com/shorts/7oQmTCL5LpM,2026-03-05T10:23:59Z,2026-03-05T10:23:59Z,2,2,0,2026-03-05T10:23:59Z,67.66,2026-03-05T10:23:59Z,67.66,0.0,0.0,67.66,67.66,1.3,1.3,no_change,https://youtube.com/shorts/7oQmTCL5LpM?si=6AvA7YoXMN-gIFcT,2
88T44CZAjv4,https://www.youtube.com/shorts/88T44CZAjv4,2026-03-05T11:09:31Z,2026-03-10T08:35:07Z,17,2,12,2026-03-05T14:08:29Z,67.98,2026-03-05T14:08:29Z,67.98,0.0,0.0,67.98,67.98,1.3,1.3,no_change,https://www.youtube.com/shorts/88T44CZAjv4,17
8OLAi6Eba98,https://www.youtube.com/shorts/8OLAi6Eba98,2026-03-05T11:09:31Z,2026-03-10T08:35:07Z,17,2,12,2026-03-05T14:08:29Z,68.08,2026-03-05T14:08:29Z,68.08,0.0,0.0,68.08,68.08,1.3,1.3,no_change,https://www.youtube.com/shorts/8OLAi6Eba98,17
8gw-WAIYdGs,https://www.youtube.com/shorts/8gw-WAIYdGs,2026-03-05T11:09:31Z,2026-03-10T08:35:07Z,17,2,12,2026-03-05T14:08:29Z,67.66,2026-03-05T14:08:29Z,67.66,0.0,0.0,67.66,67.66,1.3,1.3,no_change,https://www.youtube.com/shorts/8gw-WAIYdGs,17
8jwDwRmBYdg,https://www.youtube.com/shorts/8jwDwRmBYdg,2026-03-03T12:05:33Z,2026-03-03T12:05:33Z,1,1,0,2026-03-03T12:05:33Z,67.35,2026-03-03T12:05:33Z,67.35,0.0,0.0,67.35,67.35,1.3,1.3,no_change,https://youtube.com/shorts/8jwDwRmBYdg?si=DtvlV-R_kT2h19Yt,1
8lBggOQ-9xk,https://www.youtube.com/shorts/8lBggOQ-9xk,2026-03-05T10:23:59Z,2026-03-05T10:23:59Z,2,2,0,2026-03-05T10:23:59Z,67.87,2026-03-05T10:23:59Z,67.87,0.0,0.0,67.87,67.87,1.3,1.3,no_change,https://youtube.com/shorts/8lBggOQ-9xk?si=jcBScIkuK-bqkXCw,2
8vPGSjFQgOk,https://www.youtube.com/shorts/8vPGSjFQgOk,2026-03-05T11:09:31Z,2026-03-10T08:35:07Z,17,4,10,2026-03-05T11:42:20Z,67.35,2026-03-05T14:08:29Z,67.35,0.0,0.0,67.35,67.35,1.3,1.3,no_change,https://www.youtube.com/shorts/8vPGSjFQgOk,17
8x8QoaydQqw,https://www.youtube.com/shorts/8x8QoaydQqw,2026-03-10T09:13:16Z,2026-03-10T10:27:21Z,5,2,0,2026-03-10T09:13:16Z,67.87,2026-03-10T09:13:16Z,67.87,0.0,0.0,67.87,67.87,1.3,1.3,no_change,https://www.youtube.com/shorts/8x8QoaydQqw,5
9QkY94dX74Q,https://www.youtube.com/shorts/9QkY94dX74Q,2026-03-05T10:23:59Z,2026-03-05T10:23:59Z,2,2,0,2026-03-05T10:23:59Z,67.66,2026-03-05T10:23:59Z,67.66,0.0,0.0,67.66,67.66,1.3,1.3,no_change,https://youtube.com/shorts/9QkY94dX74Q?si=uQEhf1a6UkgOnKJp,2
9WHmL626wv4,https://www.youtube.com/shorts/9WHmL626wv4,2026-03-02T13:47:57Z,2026-03-02T13:47:57Z,1,1,0,2026-03-02T13:47:57Z,67.98,2026-03-02T13:47:57Z,67.98,0.0,0.0,67.98,67.98,1.3,1.3,no_change,https://youtube.com/shorts/9WHmL626wv4?si=c0kUC-ELW6vdxD-d,1
9ciMlAlYe48,https://www.youtube.com/shorts/9ciMlAlYe48,2026-03-10T09:13:16Z,2026-03-10T10:27:21Z,5,2,0,2026-03-10T09:13:16Z,68.29,2026-03-10T09:13:16Z,68.29,0.0,0.0,68.29,68.29,1.3,1.3,no_change,https://www.youtube.com/shorts/9ciMlAlYe48,5
9fis2miGVgI,https://www.youtube.com/shorts/9fis2miGVgI,2026-03-05T10:23:59Z,2026-03-05T10:23:59Z,2,2,0,2026-03-05T10:23:59Z,69.57,2026-03-05T10:23:59Z,69.57,0.0,0.0,69.57,69.57,1.31,1.31,no_change,https://youtube.com/shorts/9fis2miGVgI?si=7kIf9EGdqYywRmjx,2
9hpYZt0VCVY,https://www.youtube.com/shorts/9hpYZt0VCVY,2026-03-02T13:36:43Z,2026-03-02T13:41:29Z,3,1,2,2026-03-02T13:41:29Z,69.88,2026-03-02T13:41:29Z,69.88,0.0,0.0,69.88,69.88,1.31,1.31,no_change,https://youtube.com/shorts/9hpYZt0VCVY?si=bQC9Ski_UQRELEnK,3
9msoe9zRAco,https://www.youtube.com/shorts/9msoe9zRAco,2026-03-02T13:47:57Z,2026-03-02T13:47:57Z,1,1,0,2026-03-02T13:47:57Z,67.87,2026-03-02T13:47:57Z,67.87,0.0,0.0,67.87,67.87,1.3,1.3,no_change,https://youtube.com/shorts/9msoe9zRAco?si=fp5D-hivF0vZjOWi,1
9o0jFdLnlX0,https://www.youtube.com/shorts/9o0jFdLnlX0,2026-03-05T11:09:31Z,2026-03-10T08:35:07Z,19,4,12,2026-03-05T11:42:20Z,67.87,2026-03-05T14:08:29Z,67.66,-0.21,-0.31,67.87,67.66,1.3,1.3,declined,https://youtube.com/shorts/9o0jFdLnlX0?si=vOIBnYjwk9Us7Cf7,19
9rMswm1aRIE,https://www.youtube.com/shorts/9rMswm1aRIE,2026-03-05T11:09:31Z,2026-03-10T08:35:07Z,17,2,12,2026-03-05T14:08:29Z,68.18,2026-03-05T14:08:29Z,68.18,0.0,0.0,68.18,68.18,1.3,1.3,no_change,https://www.youtube.com/shorts/9rMswm1aRIE,17
9wJr_a2LYzo,https://www.youtube.com/shorts/9wJr_a2LYzo,2026-03-02T13:47:57Z,2026-03-02T13:47:57Z,1,1,0,2026-03-02T13:47:57Z,68.08,2026-03-02T13:47:57Z,68.08,0.0,0.0,68.08,68.08,1.3,1.3,no_change,https://youtube.com/shorts/9wJr_a2LYzo?si=Wj4p-_5cODf_iVDh,1
9zfk9aLwLl0,https://www.youtube.com/shorts/9zfk9aLwLl0,2026-03-05T11:09:31Z,2026-03-10T08:35:07Z,17,2,12,2026-03-05T14:08:29Z,68.08,2026-03-05T14:08:29Z,68.08,0.0,0.0,68.08,68.08,1.3,1.3,no_change,https://www.youtube.com/shorts/9zfk9aLwLl0,17
A54DmtWBFA8,https://www.youtube.com/shorts/A54DmtWBFA8,2026-03-05T11:09:31Z,2026-03-10T08:35:07Z,17,4,10,2026-03-05T11:42:20Z,69.46,2026-03-05T14:08:29Z,69.46,0.0,0.0,69.46,69.46,1.31,1.31,no_change,https://www.youtube.com/shorts/A54DmtWBFA8,17
A9_QmrUhWrA,https://www.youtube.com/shorts/A9_QmrUhWrA,2026-02-26T10:13:46Z,2026-02-26T10:13:46Z,2,2,0,2026-02-26T10:13:46Z,75.0,2026-02-26T10:13:46Z,75.0,0.0,0.0,75.0,75.0,0.0,0.0,no_change,https://youtube.com/shorts/A9_QmrUhWrA,2
AGiJ9qhD0A8,https://www.youtube.com/shorts/AGiJ9qhD0A8,2026-03-03T14:11:30Z,2026-03-04T11:19:36Z,3,2,1,2026-03-04T11:16:24Z,68.18,2026-03-04T11:19:36Z,68.18,0.0,0.0,68.18,68.18,,,no_change,https://youtube.com/shorts/AGiJ9qhD0A8,3
AVVKnqaB2sI,https://www.youtube.com/shorts/AVVKnqaB2sI,2026-02-26T09:10:50Z,2026-02-26T09:13:50Z,4,2,2,2026-02-26T09:13:50Z,97.0,2026-02-26T09:13:50Z,97.0,0.0,0.0,97.0,97.0,92.0,92.0,no_change,https://youtube.com/shorts/AVVKnqaB2sI,4
AWBsoArakNY,https://www.youtube.com/shorts/AWBsoArakNY,2026-03-01T12:40:12Z,2026-03-04T11:16:24Z,4,1,3,2026-03-04T11:16:24Z,67.46,2026-03-04T11:16:24Z,67.46,0.0,0.0,67.46,67.46,,,no_change,https://youtube.com/shorts/AWBsoArakNY,4
A_AyYgdfLJ0,https://www.youtube.com/shorts/A_AyYgdfLJ0,2026-03-10T09:13:16Z,2026-03-10T10:27:21Z,5,2,0,2026-03-10T09:13:16Z,67.56,2026-03-10T09:13:16Z,67.56,0.0,0.0,67.56,67.56,1.3,1.3,no_change,https://www.youtube.com/shorts/A_AyYgdfLJ0,5
AshSzm7z0e8,https://www.youtube.com/shorts/AshSzm7z0e8,2026-03-02T05:04:40Z,2026-03-02T05:31:45Z,4,4,0,2026-03-02T05:04:40Z,67.66,2026-03-02T05:31:45Z,67.66,0.0,0.0,67.66,67.66,1.62,1.62,no_change,https://youtube.com/shorts/AshSzm7z0e8?si=YiH-WSZ8L_Mn_wP3,4
B1wgiXjQSjQ,https://www.youtube.com/shorts/B1wgiXjQSjQ,2026-03-05T11:09:31Z,2026-03-10T08:35:07Z,17,2,12,2026-03-05T14:08:29Z,67.98,2026-03-05T14:08:29Z,67.98,0.0,0.0,67.98,67.98,1.3,1.3,no_change,https://www.youtube.com/shorts/B1wgiXjQSjQ,17
B3wSbmi7ejw,https://www.youtube.com/shorts/B3wSbmi7ejw,2026-03-05T11:09:31Z,2026-03-10T08:35:07Z,17,4,10,2026-03-05T11:42:20Z,69.78,2026-03-05T14:08:29Z,67.87,-1.91,-2.74,69.78,67.87,1.31,1.3,declined,https://www.youtube.com/shorts/B3wSbmi7ejw,17
B7GOaPKXvwc,https://www.youtube.com/shorts/B7GOaPKXvwc,2026-03-05T11:09:31Z,2026-03-10T08:35:07Z,17,2,12,2026-03-05T14:08:29Z,67.46,2026-03-05T14:08:29Z,67.46,0.0,0.0,67.46,67.46,1.3,1.3,no_change,https://www.youtube.com/shorts/B7GOaPKXvwc,17
BH3aCCBjY6o,https://www.youtube.com/shorts/BH3aCCBjY6o,2026-03-10T09:13:16Z,2026-03-10T10:27:21Z,5,2,0,2026-03-10T09:13:16Z,68.39,2026-03-10T09:13:16Z,68.39,0.0,0.0,68.39,68.39,1.3,1.3,no_change,https://www.youtube.com/shorts/BH3aCCBjY6o,5
BNHQpdLlgoU,https://www.youtube.com/shorts/BNHQpdLlgoU,2026-03-05T10:23:59Z,2026-03-05T10:23:59Z,2,2,0,2026-03-05T10:23:59Z,70.81,2026-03-05T10:23:59Z,70.81,0.0,0.0,70.81,70.81,1.31,1.31,no_change,https://youtube.com/shorts/BNHQpdLlgoU?si=6LU51Pm7wgh_MRmi,2
BRaeiCMuKpQ,https://www.youtube.com/shorts/BRaeiCMuKpQ,2026-03-05T11:09:31Z,2026-03-10T08:35:07Z,17,4,10,2026-03-05T11:42:20Z,67.56,2026-03-05T14:08:29Z,67.56,0.0,0.0,67.56,67.56,1.3,1.3,no_change,https://www.youtube.com/shorts/BRaeiCMuKpQ,17
BWAbPh6tFFQ,https://www.youtube.com/shorts/BWAbPh6tFFQ,2026-02-26T10:22:50Z,2026-03-02T12:45:12Z,16,16,0,2026-02-26T10:22:50Z,75.0,2026-03-02T12:45:12Z,69.67,-5.33,-7.11,75.0,69.67,0.0,1.39,declined,https://youtube.com/shorts/BWAbPh6tFFQ?si=m6aGcjimS_WYrkoV,16
B_0fYrKSnnM,https://www.youtube.com/shorts/B_0fYrKSnnM,2026-03-05T11:09:31Z,2026-03-10T08:35:07Z,17,2,12,2026-03-05T14:08:29Z,67.25,2026-03-05T14:08:29Z,67.25,0.0,0.0,67.25,67.25,1.3,1.3,no_change,https://www.youtube.com/shorts/B_0fYrKSnnM,17
BaarEO9boXA,https://www.youtube.com/shorts/BaarEO9boXA,2026-02-28T20:18:50Z,2026-03-10T10:27:21Z,9,4,2,2026-02-28T20:20:51Z,75.0,2026-03-10T09:13:16Z,67.46,-7.54,-10.05,75.0,67.46,0.0,1.3,declined,https://www.youtube.com/shorts/BaarEO9boXA,9
Bas78fJT5Cg,https://www.youtube.com/shorts/Bas78fJT5Cg,2026-03-05T10:23:59Z,2026-03-05T10:23:59Z,2,2,0,2026-03-05T10:23:59Z,67.35,2026-03-05T10:23:59Z,67.35,0.0,0.0,67.35,67.35,1.3,1.3,no_change,https://youtube.com/shorts/Bas78fJT5Cg?si=FHDcyv1Asd18F5jI,2
C2FYefLQp_k,https://www.youtube.com/shorts/C2FYefLQp_k,2026-03-03T11:29:05Z,2026-03-03T11:29:22Z,2,2,0,2026-03-03T11:29:05Z,67.56,2026-03-03T11:29:22Z,67.56,0.0,0.0,67.56,67.56,1.3,1.3,no_change,https://www.youtube.com/shorts/C2FYefLQp_k,2
C577BRyc6QU,https://www.youtube.com/shorts/C577BRyc6QU,2026-03-05T10:23:59Z,2026-03-05T10:23:59Z,2,2,0,2026-03-05T10:23:59Z,69.98,2026-03-05T10:23:59Z,69.98,0.0,0.0,69.98,69.98,1.31,1.31,no_change,https://youtube.com/shorts/C577BRyc6QU?si=0rk_hzpoTT50ayfB,2
C64TlSC1PXE,https://www.youtube.com/shorts/C64TlSC1PXE,2026-03-05T11:09:31Z,2026-03-10T08:35:07Z,17,4,10,2026-03-05T11:42:20Z,67.56,2026-03-05T14:08:29Z,67.56,0.0,0.0,67.56,67.56,1.3,1.3,no_change,https://www.youtube.com/shorts/C64TlSC1PXE,17
C6PhwSIp_-w,https://www.youtube.com/shorts/C6PhwSIp_-w,2026-03-10T09:13:16Z,2026-03-10T10:27:21Z,5,2,0,2026-03-10T09:13:16Z,67.77,2026-03-10T09:13:16Z,67.77,0.0,0.0,67.77,67.77,1.3,1.3,no_change,https://www.youtube.com/shorts/C6PhwSIp_-w,5
CHhJIHDlMv8,https://www.youtube.com/shorts/CHhJIHDlMv8,2026-03-05T11:09:31Z,2026-03-10T08:35:07Z,17,2,12,2026-03-05T14:08:29Z,68.08,2026-03-05T14:08:29Z,68.08,0.0,0.0,68.08,68.08,1.3,1.3,no_change,https://www.youtube.com/shorts/CHhJIHDlMv8,17
CJYuCLou8Pk,https://www.youtube.com/shorts/CJYuCLou8Pk,2026-03-03T14:11:30Z,2026-03-04T11:16:24Z,2,1,1,2026-03-04T11:16:24Z,68.49,2026-03-04T11:16:24Z,68.49,0.0,0.0,68.49,68.49,,,no_change,https://youtube.com/shorts/CJYuCLou8Pk,2
CPHYpMD224w,https://www.youtube.com/shorts/CPHYpMD224w,2026-03-05T10:23:59Z,2026-03-05T10:23:59Z,2,2,0,2026-03-05T10:23:59Z,67.98,2026-03-05T10:23:59Z,67.98,0.0,0.0,67.98,67.98,1.3,1.3,no_change,https://youtube.com/shorts/CPHYpMD224w?si=0XENeE3s5-yXD-c6,2
CTnfsi8XLFc,https://www.youtube.com/shorts/CTnfsi8XLFc,2026-03-05T11:09:31Z,2026-03-10T08:35:07Z,17,4,10,2026-03-05T11:42:20Z,67.87,2026-03-05T14:08:29Z,67.87,0.0,0.0,67.87,67.87,1.3,1.3,no_change,https://www.youtube.com/shorts/CTnfsi8XLFc,17
CUHEUuhfxa4,https://www.youtube.com/shorts/CUHEUuhfxa4,2026-03-05T10:23:59Z,2026-03-05T10:23:59Z,2,2,0,2026-03-05T10:23:59Z,69.98,2026-03-05T10:23:59Z,69.98,0.0,0.0,69.98,69.98,1.31,1.31,no_change,https://youtube.com/shorts/CUHEUuhfxa4?si=Dx_SnrjQr1-vtiR_,2
C_jTG8Kt21c,https://www.youtube.com/shorts/C_jTG8Kt21c,2026-03-05T11:09:31Z,2026-03-10T08:35:07Z,17,2,12,2026-03-05T14:08:29Z,67.77,2026-03-05T14:08:29Z,67.77,0.0,0.0,67.77,67.77,1.3,1.3,no_change,https://www.youtube.com/shorts/C_jTG8Kt21c,17
CbiEvw1sJ4Q,https://www.youtube.com/shorts/CbiEvw1sJ4Q,2026-03-05T11:09:31Z,2026-03-10T08:35:07Z,17,4,10,2026-03-05T11:42:20Z,67.56,2026-03-05T14:08:29Z,67.56,0.0,0.0,67.56,67.56,1.3,1.3,no_change,https://youtube.com/shorts/CbiEvw1sJ4Q?si=Qd9qG3UzAM4vqRf-,17
CjW3UBdX7II,https://www.youtube.com/shorts/CjW3UBdX7II,2026-02-26T10:22:50Z,2026-03-02T04:46:38Z,12,12,0,2026-02-26T10:22:50Z,75.0,2026-03-02T04:46:38Z,68.18,-6.82,-9.09,75.0,68.18,0.0,1.67,declined,https://youtube.com/shorts/CjW3UBdX7II?si=C51FC3ZuRktsXp-4,12
Cjj1mmgXngA,https://www.youtube.com/shorts/Cjj1mmgXngA,2026-03-03T12:25:42Z,2026-03-05T09:55:38Z,4,4,0,2026-03-03T12:25:42Z,67.66,2026-03-05T09:55:38Z,67.66,0.0,0.0,67.66,67.66,1.3,1.3,no_change,https://youtube.com/shorts/Cjj1mmgXngA?si=fJ1YKbdxGw9SvQ0v,4
CldW2QJ81YE,https://www.youtube.com/shorts/CldW2QJ81YE,2026-03-05T10:23:59Z,2026-03-05T10:23:59Z,2,2,0,2026-03-05T10:23:59Z,69.57,2026-03-05T10:23:59Z,69.57,0.0,0.0,69.57,69.57,1.31,1.31,no_change,https://youtube.com/shorts/CldW2QJ81YE?si=Bn3F3djtcwBkcOn1,2
CnMNVq5l7ss,https://www.youtube.com/shorts/CnMNVq5l7ss,2026-03-02T13:36:43Z,2026-03-02T13:41:29Z,3,1,2,2026-03-02T13:41:29Z,67.77,2026-03-02T13:41:29Z,67.77,0.0,0.0,67.77,67.77,1.3,1.3,no_change,https://youtube.com/shorts/CnMNVq5l7ss?si=IXh-lWZP-HHy-91K,3
D096pdUIzYw,https://www.youtube.com/shorts/D096pdUIzYw,2026-03-05T10:23:59Z,2026-03-05T10:23:59Z,2,2,0,2026-03-05T10:23:59Z,69.78,2026-03-05T10:23:59Z,69.78,0.0,0.0,69.78,69.78,1.31,1.31,no_change,https://youtube.com/shorts/D096pdUIzYw?si=1bbTzARB2u2WEb2B,2
D56BC6Dzerw,https://www.youtube.com/shorts/D56BC6Dzerw,2026-03-05T11:09:31Z,2026-03-10T08:35:07Z,17,2,12,2026-03-05T14:08:29Z,67.35,2026-03-05T14:08:29Z,67.35,0.0,0.0,67.35,67.35,1.3,1.3,no_change,https://www.youtube.com/shorts/D56BC6Dzerw,17
DKOFyIIuzOM,https://www.youtube.com/shorts/DKOFyIIuzOM,2026-03-05T11:09:31Z,2026-03-10T08:35:07Z,17,2,12,2026-03-05T14:08:29Z,67.25,2026-03-05T14:08:29Z,67.25,0.0,0.0,67.25,67.25,1.3,1.3,no_change,https://www.youtube.com/shorts/DKOFyIIuzOM,17
DO4HN6lV0JA,https://www.youtube.com/shorts/DO4HN6lV0JA,2026-03-05T11:09:31Z,2026-03-10T08:35:07Z,17,2,12,2026-03-05T14:08:29Z,68.39,2026-03-05T14:08:29Z,68.39,0.0,0.0,68.39,68.39,1.3,1.3,no_change,https://www.youtube.com/shorts/DO4HN6lV0JA,17
DTXZGEAd4Z8,https://www.youtube.com/shorts/DTXZGEAd4Z8,2026-03-05T11:09:31Z,2026-03-10T08:35:07Z,17,4,10,2026-03-05T11:42:20Z,67.25,2026-03-05T14:08:29Z,67.25,0.0,0.0,67.25,67.25,1.3,1.3,no_change,https://www.youtube.com/shorts/DTXZGEAd4Z8,17
DVwpRTEvVKQ,https://www.youtube.com/shorts/DVwpRTEvVKQ,2026-03-05T10:08:10Z,2026-03-05T10:08:10Z,2,2,0,2026-03-05T10:08:10Z,70.4,2026-03-05T10:08:10Z,70.4,0.0,0.0,70.4,70.4,1.31,1.31,no_change,https://youtube.com/shorts/DVwpRTEvVKQ?si=min9PVzxsCdHYtFk,2
De4sEckr9nc,https://www.youtube.com/shorts/De4sEckr9nc,2026-03-02T13:36:43Z,2026-03-02T13:41:29Z,3,1,2,2026-03-02T13:41:29Z,93.08,2026-03-02T13:41:29Z,93.08,0.0,0.0,93.08,93.08,1.68,1.68,no_change,https://youtube.com/shorts/De4sEckr9nc?si=AhIpwCyuUx-5ZXCB,3
Dfjt6v9meaU,https://www.youtube.com/shorts/Dfjt6v9meaU,2026-03-02T13:36:43Z,2026-03-02T13:41:29Z,3,1,2,2026-03-02T13:41:29Z,67.04,2026-03-02T13:41:29Z,67.04,0.0,0.0,67.04,67.04,1.3,1.3,no_change,https://youtube.com/shorts/Dfjt6v9meaU?si=REszjN06-uL1IOGi,3
DjMvOdpWT78,https://www.youtube.com/shorts/DjMvOdpWT78,2026-03-05T10:23:59Z,2026-03-05T10:23:59Z,2,2,0,2026-03-05T10:23:59Z,67.98,2026-03-05T10:23:59Z,67.98,0.0,0.0,67.98,67.98,1.3,1.3,no_change,https://youtube.com/shorts/DjMvOdpWT78?si=pkC3deRiQMRt4-wV,2
DnkawuXCy04,https://www.youtube.com/shorts/DnkawuXCy04,2026-03-05T10:23:59Z,2026-03-05T10:23:59Z,2,2,0,2026-03-05T10:23:59Z,68.08,2026-03-05T10:23:59Z,68.08,0.0,0.0,68.08,68.08,1.3,1.3,no_change,https://youtube.com/shorts/DnkawuXCy04?si=qHC0h7kAKsUorbaN,2
Dnn85h3l9L4,https://www.youtube.com/shorts/Dnn85h3l9L4,2026-03-10T09:13:16Z,2026-03-10T10:27:21Z,5,2,0,2026-03-10T09:13:16Z,67.77,2026-03-10T09:13:16Z,67.77,0.0,0.0,67.77,67.77,1.3,1.3,no_change,https://www.youtube.com/shorts/Dnn85h3l9L4,5
Dnx6dx6HnQY,https://www.youtube.com/shorts/Dnx6dx6HnQY,2026-03-05T10:23:59Z,2026-03-05T10:23:59Z,2,2,0,2026-03-05T10:23:59Z,67.87,2026-03-05T10:23:59Z,67.87,0.0,0.0,67.87,67.87,1.3,1.3,no_change,https://youtube.com/shorts/Dnx6dx6HnQY?si=unjxNh9He3g3HetZ,2
Dzm57z_bqrI,https://www.youtube.com/shorts/Dzm57z_bqrI,2026-03-02T05:04:40Z,2026-03-02T05:31:45Z,4,4,0,2026-03-02T05:04:40Z,66.85,2026-03-02T05:31:45Z,66.85,0.0,0.0,66.85,66.85,34.34,34.34,no_change,https://youtube.com/shorts/Dzm57z_bqrI?si=QvnBEZXxbmfjpysB,4
E2sacsks4Ns,https://www.youtube.com/shorts/E2sacsks4Ns,2026-03-03T12:05:33Z,2026-03-03T12:05:33Z,1,1,0,2026-03-03T12:05:33Z,67.87,2026-03-03T12:05:33Z,67.87,0.0,0.0,67.87,67.87,1.3,1.3,no_change,https://youtube.com/shorts/E2sacsks4Ns?si=lzjQbXmacbn0VyaV,1
E5Gp5d0UZRk,https://www.youtube.com/shorts/E5Gp5d0UZRk,2026-03-02T13:47:57Z,2026-03-02T13:47:57Z,1,1,0,2026-03-02T13:47:57Z,70.91,2026-03-02T13:47:57Z,70.91,0.0,0.0,70.91,70.91,1.31,1.31,no_change,https://youtube.com/shorts/E5Gp5d0UZRk?si=XTiLZ8uWXQdxzFz1,1
EBohWCR33zs,https://www.youtube.com/shorts/EBohWCR33zs,2026-03-05T11:09:31Z,2026-03-10T08:35:07Z,17,4,10,2026-03-05T11:42:20Z,67.77,2026-03-05T14:08:29Z,67.77,0.0,0.0,67.77,67.77,1.3,1.3,no_change,https://www.youtube.com/shorts/EBohWCR33zs,17
EHflUpAxE3c,https://www.youtube.com/shorts/EHflUpAxE3c,2026-03-01T12:40:12Z,2026-03-04T11:16:24Z,4,1,3,2026-03-04T11:16:24Z,67.35,2026-03-04T11:16:24Z,67.35,0.0,0.0,67.35,67.35,,,no_change,https://youtube.com/shorts/EHflUpAxE3c,4
ENFsDm03JR8,https://www.youtube.com/shorts/ENFsDm03JR8,2026-02-28T20:18:50Z,2026-03-10T10:27:21Z,9,4,2,2026-02-28T20:20:51Z,75.0,2026-03-10T09:13:16Z,67.98,-7.02,-9.36,75.0,67.98,0.0,1.3,declined,https://www.youtube.com/shorts/ENFsDm03JR8,9
EcIwW_PB0rg,https://www.youtube.com/shorts/EcIwW_PB0rg,2026-03-02T05:04:40Z,2026-03-02T05:31:45Z,4,4,0,2026-03-02T05:04:40Z,67.35,2026-03-02T05:31:45Z,67.35,0.0,0.0,67.35,67.35,1.37,1.37,no_change,https://youtube.com/shorts/EcIwW_PB0rg?si=0sx5iikbj5qF_3m_,4
EeEu8pvw_5Y,https://www.youtube.com/shorts/EeEu8pvw_5Y,2026-03-05T11:09:31Z,2026-03-10T08:35:07Z,17,2,12,2026-03-05T14:08:29Z,68.08,2026-03-05T14:08:29Z,68.08,0.0,0.0,68.08,68.08,1.3,1.3,no_change,https://www.youtube.com/shorts/EeEu8pvw_5Y,17
Eel46Cp2DV0,https://www.youtube.com/shorts/Eel46Cp2DV0,2026-03-05T11:09:31Z,2026-03-10T08:35:07Z,17,2,12,2026-03-05T14:08:29Z,67.66,2026-03-05T14:08:29Z,67.66,0.0,0.0,67.66,67.66,1.3,1.3,no_change,https://www.youtube.com/shorts/Eel46Cp2DV0,17
ElST_tR0Ou8,https://www.youtube.com/shorts/ElST_tR0Ou8,2026-03-05T10:08:10Z,2026-03-05T10:08:10Z,2,2,0,2026-03-05T10:08:10Z,67.66,2026-03-05T10:08:10Z,67.66,0.0,0.0,67.66,67.66,1.3,1.3,no_change,https://youtube.com/shorts/ElST_tR0Ou8?si=CdvyuGnawBqM7HIc,2
F3iaZ1bpw38,https://www.youtube.com/shorts/F3iaZ1bpw38,2026-03-03T12:25:42Z,2026-03-05T09:55:38Z,8,4,3,2026-03-03T12:25:42Z,67.56,2026-03-05T09:55:38Z,67.56,0.0,0.0,67.56,67.56,1.3,1.3,no_change,https://youtube.com/shorts/F3iaZ1bpw38?si=fDftXyNst02IleUO,8
FFr7JJcJwEg,https://www.youtube.com/shorts/FFr7JJcJwEg,2026-03-05T11:09:31Z,2026-03-10T08:35:07Z,17,4,10,2026-03-05T11:42:20Z,69.57,2026-03-05T14:08:29Z,69.57,0.0,0.0,69.57,69.57,1.31,1.31,no_change,https://www.youtube.com/shorts/FFr7JJcJwEg,17
FNgxSv2vfZY,https://www.youtube.com/shorts/FNgxSv2vfZY,2026-03-05T11:09:31Z,2026-03-10T08:35:07Z,17,4,10,2026-03-05T11:42:20Z,68.18,2026-03-05T14:08:29Z,68.18,0.0,0.0,68.18,68.18,1.3,1.3,no_change,https://www.youtube.com/shorts/FNgxSv2vfZY,17
FWeOvOQ7h2Y,https://www.youtube.com/shorts/FWeOvOQ7h2Y,2026-03-05T11:09:31Z,2026-03-10T08:35:07Z,17,2,12,2026-03-05T14:08:29Z,68.08,2026-03-05T14:08:29Z,68.08,0.0,0.0,68.08,68.08,1.3,1.3,no_change,https://www.youtube.com/shorts/FWeOvOQ7h2Y,17
