video_id,canonical_url,first_seen_utc,last_seen_utc,attempt_count,scored_count,error_count,first_score_utc,first_credibility_score,latest_score_utc,latest_credibility_score,improvement_points_latest_minus_first,improvement_percent_latest_vs_first,best_credibility_score,worst_credibility_score,first_generation_origin_score,latest_generation_origin_score,trend,sample_raw_url,source_files_count
5K3l_x4vc8k,https://www.youtube.com/shorts/5K3l_x4vc8k,2026-02-26T09:46:27Z,2026-02-26T10:06:04Z,6,6,0,2026-02-26T09:46:27Z,75.0,2026-02-26T10:06:04Z,75.0,0.0,0.0,75.0,75.0,92.0,92.0,no_change,https://youtube.com/shorts/5K3l_x4vc8k,6
5Ljy39FWzIg,https://www.youtube.com/shorts/5Ljy39FWzIg,2026-03-05T11:09:31Z,2026-03-10T08:35:07Z,17,2,12,2026-03-05T14:08:29Z,68.29,2026-03-05T14:08:29Z,68.29,0.0,0.0,68.29,68.29,1.3,1.3,no_change,https://www.youtube.com/shorts/5Ljy39FWzIg,17
5LnjPFrnmSs,https://www.youtube.com/shorts/5LnjPFrnmSs,2026-03-03T14:11:30Z,2026-03-04T11:16:24Z,2,1,1,2026-03-04T11:16:24Z,64.43,2026-03-04T11:16:24Z,64.43,0.0,0.0,64.43,64.43,,,no_change,https://youtube.com/shorts/5LnjPFrnmSs,2
5MRP7Y-oDlk,https://www.youtube.com/shorts/5MRP7Y-oDlk,2026-02-26T09:46:27Z,2026-02-26T10:13:46Z,8,8,0,2026-02-26T09:46:27Z,97.0,2026-02-26T10:13:46Z,97.0,0.0,0.0,97.0,97.0,92.0,92.0,no_change,https://youtube.com/shorts/5MRP7Y-oDlk,8
5Mc08X5k3dk,https://www.youtube.com/shorts/5Mc08X5k3dk,2026-03-03T14:11:30Z,2026-03-04T11:16:24Z,2,1,1,2026-03-04T11:16:24Z,67.87,2026-03-04T11:16:24Z,67.87,0.0,0.0,67.87,67.87,,,no_change,https://youtube.com/shorts/5Mc08X5k3dk,2
5RCyvueGuIQ,https://www.youtube.com/shorts/5RCyvueGuIQ,2026-03-03T12:05:33Z,2026-03-03T12:05:33Z,1,1,0,2026-03-03T12:05:33Z,67.46,2026-03-03T12:05:33Z,67.46,0.0,0.0,67.46,67.46,1.3,1.3,no_change,https://youtube.com/shorts/5RCyvueGuIQ?si=C0HPlQbbMzTKIihr,1
5SS2YS7FVWo,https://www.youtube.com/shorts/5SS2YS7FVWo,2026-03-03T14:11:30Z,2026-03-04T11:16:24Z,2,1,1,2026-03-04T11:16:24Z,67.66,2026-03-04T11:16:24Z,67.66,0.0,0.0,67.66,67.66,,,no_change,https://youtube.com/shorts/5SS2YS7FVWo,2
5SsMMOOYRIw,https://www.youtube.com/shorts/5SsMMOOYRIw,2026-02-26T09:46:27Z,2026-02-26T09:58:20Z,4,4,0,2026-02-26T09:46:27Z,75.0,2026-02-26T09:58:20Z,75.0,0.0,0.0,75.0,75.0,92.0,92.0,no_change,https://youtube.com/shorts/5SsMMOOYRIw,4
5WGlWcLlHW0,https://www.youtube.com/shorts/5WGlWcLlHW0,2026-03-03T14:11:30Z,2026-03-04T11:19:36Z,3,2,1,2026-03-04T11:16:24Z,68.18,2026-03-04T11:19:36Z,68.18,0.0,0.0,68.18,68.18,,,no_change,https://youtube.com/shorts/5WGlWcLlHW0,3
5_Bn3vFyIKg,https://www.youtube.com/shorts/5_Bn3vFyIKg,2026-02-26T09:46:27Z,2026-02-26T10:13:46Z,8,8,0,2026-02-26T09:46:27Z,75.0,2026-02-26T10:13:46Z,75.0,0.0,0.0,75.0,75.0,92.0,92.0,no_change,https://youtube.com/shorts/5_Bn3vFyIKg,8
