credibility_score,credibility_vs_reconstructed_delta,evidence_asr_tokens,evidence_caption_tokens,evidence_level,evidence_ocr_tokens,evidence_quality_score,evidence_total_tokens,evidence_transcript_tokens,generation_origin_excluded_from_credibility,generation_origin_level,generation_origin_rationale,generation_origin_score,manipulation_score,misinformation_score,notes,reconstructed_credibility_score,scam_score,top_claim_confidence,top_claim_status,uncertainty_score,url,weighted_evidence_quality_penalty,weighted_manipulation_penalty,weighted_misinformation_penalty,weighted_scam_penalty,weighted_total_penalty,weighted_uncertainty_penalty
66.24,-11.934,0,1,medium,53,54.69,54,53,True,low,Human-generated content likely.,1.29,0.0,17.68,Applied sparse-text score calibration to reduce flat scoring under limited extracted evidence. | Generation origin score calibrated by trained logistic model. | Claim verification used open-source evidence heuristics. | Rich text context detected (transcript/OCR); thresholds tuned to reduce unnecessary not_enough_evidence. | Analysis-confidence score: 54.4. | Evidence-quality penalty score: 54.69.,78.17,10.0,0.52,not_enough_evidence,57.1,https://www.tiktok.com/@realjayllnn/video/7586112300378033422,6.5628,0.0,6.0112,2.4,21.826,6.852
66.68,-11.9324,0,1,medium,58,53.92,59,58,True,low,Human-generated content likely.,1.29,0.0,17.28,Applied sparse-text score calibration to reduce flat scoring under limited extracted evidence. | Generation origin score calibrated by trained logistic model. | Claim verification used open-source evidence heuristics. | Rich text context detected (transcript/OCR); thresholds tuned to reduce unnecessary not_enough_evidence. | Analysis-confidence score: 55.18. | Evidence-quality penalty score: 53.92.,78.61,10.0,0.52,not_enough_evidence,55.35,https://www.tiktok.com/@realjayllnn/video/7615771785107098894,6.4704,0.0,5.8752,2.4,21.3876,6.642
68.46,-11.5504,0,24,medium,58,50.38,82,58,True,low,Human-generated content likely.,1.3,0.0,15.6,Applied sparse-text score calibration to reduce flat scoring under limited extracted evidence. | Generation origin score calibrated by trained logistic model. | Claim verification used open-source evidence heuristics. | Rich text context detected (transcript/OCR); thresholds tuned to reduce unnecessary not_enough_evidence. | Analysis-confidence score: 58.76. | Evidence-quality penalty score: 50.38.,80.01,10.0,0.52,not_enough_evidence,52.0,https://www.tiktok.com/@fidget_crafty/video/7412367757125094687,6.0456,0.0,5.304,2.4,19.9896,6.24
69.61,-10.788,0,17,medium,86,47.15,103,86,True,low,Human-generated content likely.,1.31,0.0,15.6,Applied sparse-text score calibration to reduce flat scoring under limited extracted evidence. | Generation origin score calibrated by trained logistic model. | Claim verification used open-source evidence heuristics. | Rich text context detected (transcript/OCR); thresholds tuned to reduce unnecessary not_enough_evidence. | Analysis-confidence score: 62.02. | Evidence-quality penalty score: 47.15.,80.4,10.0,0.52,not_enough_evidence,52.0,https://www.tiktok.com/@crashadamsbackup/video/7584700981921778974,5.658,0.0,5.304,2.4,19.602,6.24
67.23,-11.908,0,7,medium,58,53.0,65,58,True,low,Human-generated content likely.,1.3,0.0,16.8,Applied sparse-text score calibration to reduce flat scoring under limited extracted evidence. | Generation origin score calibrated by trained logistic model. | Claim verification used open-source evidence heuristics. | Rich text context detected (transcript/OCR); thresholds tuned to reduce unnecessary not_enough_evidence. | Analysis-confidence score: 56.11. | Evidence-quality penalty score: 53.0.,79.14,10.0,0.52,not_enough_evidence,53.25,https://www.tiktok.com/@nfl/video/7604678425932074254,6.36,0.0,5.712,2.4,20.862,6.39
