caption_chars,credibility_score,error,error_category,generation_origin,generation_origin_score,ingest_notes,job_id,status,top_claim_status,transcript_chars,url
138,67.56,,ingest:no_transcript_subtitles_unavailable,low,1.38,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: CuRe 구래). | Could not fetch YouTube transcript (disabled/unavailable). | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback). | Source-check: low alignment with trusted sources (0/1 claims matched).,196e8d88aa3a4f37b2ada4759c282bd8,completed,not_enough_evidence,0,https://youtube.com/shorts/6pr71BzMzMw?si=aMJPOWBfqx-r6-AM
140,69.67,,ingest:metadata_fallback_used,low,1.39,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: Young and Profiting). | Could not fetch YouTube transcript (disabled/unavailable). | Recovered on-screen text using frame OCR fallback. | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback). | Source-check: low alignment with trusted sources (0/1 claims matched).,456b9bfe8b6c4c31a46e626c813da35f,completed,not_enough_evidence,25,https://youtube.com/shorts/BWAbPh6tFFQ?si=m6aGcjimS_WYrkoV
120,67.35,,ingest:no_transcript_subtitles_unavailable,low,1.37,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: Luke Davidson). | Could not fetch YouTube transcript (disabled/unavailable). | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback). | Source-check: low alignment with trusted sources (0/1 claims matched).,1163f03c59f84d0eb80d309eb1c2e50d,completed,not_enough_evidence,0,https://youtube.com/shorts/IQ14AVePD_g?si=YwgbasO2yp9BdoW6
106,67.04,,ingest:no_transcript_subtitles_unavailable,low,1.37,Could not fetch YouTube metadata via yt-dlp. | Could not fetch YouTube metadata via oEmbed fallback. | Recovered metadata from YouTube watch-page scraping fallback. | Could not fetch YouTube transcript (disabled/unavailable). | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback). | Source-check: skipped (insufficient extracted text).,df6d5fe9dc2246dea05648f306de0507,completed,not_enough_evidence,0,https://youtube.com/shorts/LWB2fNhuP38?si=QB_bDZL52MpA8_4m
194,68.6,,ingest:no_transcript_subtitles_unavailable,low,1.62,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: GOPAL MUSIC). | Could not fetch YouTube transcript (disabled/unavailable). | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback). | Source-check: low alignment with trusted sources (0/1 claims matched).,1da6f2269a804705b55babff7aa3aade,completed,not_enough_evidence,0,https://youtube.com/shorts/M7OTxF6zovI?si=BfNY0zjM1FBvhhE_
133,69.88,,ingest:metadata_fallback_used,low,1.39,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: Neetesh Praliya). | Could not fetch YouTube transcript (disabled/unavailable). | Recovered on-screen text using frame OCR fallback. | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback). | Source-check: low alignment with trusted sources (0/1 claims matched).,bfed090c1f9e4c418e2e480f2e5fd121,completed,not_enough_evidence,28,https://youtube.com/shorts/_HzGWF9TCzc?si=Db5mh5_D7Wy13rzV
164,67.66,,ingest:no_transcript_subtitles_unavailable,low,1.38,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: F4 Beatz). | Could not fetch YouTube transcript (disabled/unavailable). | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback). | Source-check: low alignment with trusted sources (0/1 claims matched).,fec847dc6e324282a5834985205c89dd,completed,not_enough_evidence,0,https://youtube.com/shorts/d5xfJO6sJps?si=hTV-AJM5i7_G_bM9
161,68.18,,ingest:no_transcript_subtitles_unavailable,low,1.38,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: Our Food Lab). | Could not fetch YouTube transcript (disabled/unavailable). | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback). | Source-check: low alignment with trusted sources (0/1 claims matched).,fc8ebfe9572e4e79a3b8ba31358075e3,completed,not_enough_evidence,0,https://youtube.com/shorts/hJCLhvw-iNU?si=O3r7nyzhFy_ofCDX
130,67.56,,ingest:no_transcript_subtitles_unavailable,low,1.38,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: EBB Super Star). | Could not fetch YouTube transcript (disabled/unavailable). | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback). | Source-check: low alignment with trusted sources (0/1 claims matched).,9a37baca11424fa1a058143f3b695495,completed,not_enough_evidence,0,https://youtube.com/shorts/kRCZ6FhZCHI?si=t1eaEIvHCXe7Tg3v
132,67.56,,ingest:no_transcript_subtitles_unavailable,low,1.38,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: Luke Davidson). | Could not fetch YouTube transcript (disabled/unavailable). | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback). | Source-check: low alignment with trusted sources (0/1 claims matched).,98e2d53b26ff4801a2162053f3a4721f,completed,not_enough_evidence,0,https://youtube.com/shorts/ncFc9D7g124?si=RMtgBuVj_Rlda0Zj
