caption_chars,credibility_score,error,error_category,generation_origin,generation_origin_score,ingest_notes,job_id,status,top_claim_status,transcript_chars,url
130,69.78,,ingest:metadata_fallback_used,low,1.39,Could not fetch YouTube metadata via yt-dlp. | Worker video download returned no file; using fallback ingestion. | Recovered metadata from YouTube oEmbed (author: Isaac & Andrea). | Could not fetch YouTube transcript (disabled/unavailable). | Recovered on-screen text using frame OCR fallback. | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback). | Source-check: low alignment with trusted sources (0/1 claims matched).,8e85291fdc2145c1a5df1cd2a373f2b4,completed,not_enough_evidence,32,https://youtube.com/shorts/3d05ZaTWzZA?si=EvlNm4d7Rrhad5Mk
140,69.67,,ingest:metadata_fallback_used,low,1.39,Could not fetch YouTube metadata via yt-dlp. | Worker video download returned no file; using fallback ingestion. | Recovered metadata from YouTube oEmbed (author: Young and Profiting). | Could not fetch YouTube transcript (disabled/unavailable). | Recovered on-screen text using frame OCR fallback. | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback). | Source-check: low alignment with trusted sources (0/1 claims matched).,533bd56d68574a6fb6dc97eda22ac82e,completed,not_enough_evidence,25,https://youtube.com/shorts/BWAbPh6tFFQ?si=m6aGcjimS_WYrkoV
194,68.6,,ingest:no_transcript_subtitles_unavailable,low,1.62,Could not fetch YouTube metadata via yt-dlp. | Worker video download returned no file; using fallback ingestion. | Recovered metadata from YouTube oEmbed (author: GOPAL MUSIC). | Could not fetch YouTube transcript (disabled/unavailable). | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback). | Source-check: low alignment with trusted sources (0/1 claims matched).,a6008782c11145b4b8449aa4d34e1699,completed,not_enough_evidence,0,https://youtube.com/shorts/M7OTxF6zovI?si=BfNY0zjM1FBvhhE_
113,67.04,,ingest:no_transcript_subtitles_unavailable,low,1.37,Could not fetch YouTube metadata via yt-dlp. | Worker video download returned no file; using fallback ingestion. | Recovered metadata from YouTube oEmbed (author: SP99-EDIT_SONG). | Could not fetch YouTube transcript (disabled/unavailable). | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback). | Source-check: skipped (insufficient extracted text).,5b307101061d4497afc324132ddf2faa,completed,not_enough_evidence,0,https://youtube.com/shorts/ZKqKJUdihI0?si=BgDOBURifUoacOon
194,68.08,,ingest:no_transcript_subtitles_unavailable,low,1.38,Could not fetch YouTube metadata via yt-dlp. | Worker video download returned no file; using fallback ingestion. | Recovered metadata from YouTube oEmbed (author: Priyasa Family Kitchen). | Could not fetch YouTube transcript (disabled/unavailable). | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback). | Source-check: low alignment with trusted sources (0/1 claims matched).,8b610132ea074a60844bc5210f24049e,completed,not_enough_evidence,0,https://youtube.com/shorts/ydj_KdgLEaI?si=q5hiTp3uv8c2annz
