error,url
curl: (6) Could not resolve host: crediclip-axraza-msba.fly.dev,https://www.tiktok.com/@pet_statione/video/7579841364599328013
curl: (6) Could not resolve host: crediclip-axraza-msba.fly.dev,https://www.tiktok.com/@k9.heroo/video/7583713151724571934
curl: (6) Could not resolve host: crediclip-axraza-msba.fly.dev,https://www.tiktok.com/@10001223gfa/video/7610736223761599774
curl: (6) Could not resolve host: crediclip-axraza-msba.fly.dev,https://www.tiktok.com/@happenstancemanor/video/7588299202992639287
curl: (6) Could not resolve host: crediclip-axraza-msba.fly.dev,https://www.tiktok.com/@rumishasimab295/video/7605936714254667039
curl: (6) Could not resolve host: crediclip-axraza-msba.fly.dev,https://www.tiktok.com/@brookemonk_/video/7603118297403378975
curl: (6) Could not resolve host: crediclip-axraza-msba.fly.dev,https://www.tiktok.com/@funprank28/video/7583317740564303134
curl: (6) Could not resolve host: crediclip-axraza-msba.fly.dev,https://www.tiktok.com/@movies00comedy/video/7595083496788462878
curl: (6) Could not resolve host: crediclip-axraza-msba.fly.dev,https://www.tiktok.com/@neonxstudio/video/7584981546797403393
curl: (6) Could not resolve host: crediclip-axraza-msba.fly.dev,https://www.tiktok.com/@tisipbign1/video/7596058593103744263
curl: (6) Could not resolve host: crediclip-axraza-msba.fly.dev,https://www.tiktok.com/@realjayllnn/video/7598039617497074957
curl: (6) Could not resolve host: crediclip-axraza-msba.fly.dev,https://www.tiktok.com/@reuters/video/7589372207017626894
curl: (6) Could not resolve host: crediclip-axraza-msba.fly.dev,https://www.tiktok.com/@dailychallenge0/video/7607528582654463246
curl: (6) Could not resolve host: crediclip-axraza-msba.fly.dev,https://www.tiktok.com/@shopwithkkate/video/7587942790298979614
curl: (6) Could not resolve host: crediclip-axraza-msba.fly.dev,https://www.tiktok.com/@moreliketoritilla/video/7596155608630299934
curl: (6) Could not resolve host: crediclip-axraza-msba.fly.dev,https://www.tiktok.com/@graciebon.xl/video/7592693195302030605
curl: (6) Could not resolve host: crediclip-axraza-msba.fly.dev,https://www.tiktok.com/@ms.queen9180/video/7589699433500134687
curl: (6) Could not resolve host: crediclip-axraza-msba.fly.dev,https://www.tiktok.com/@hopecoreproject/video/7583086829922995469
curl: (6) Could not resolve host: crediclip-axraza-msba.fly.dev,https://www.tiktok.com/@floridafoxanthillart/video/7587832123466206478
curl: (6) Could not resolve host: crediclip-axraza-msba.fly.dev,https://www.tiktok.com/@gggttbb2/video/7605286505828945182
