credibility_score,credibility_vs_reconstructed_delta,error,evidence_asr_tokens,evidence_caption_tokens,evidence_level,evidence_ocr_tokens,evidence_quality_score,evidence_total_tokens,evidence_transcript_tokens,generation_origin_excluded_from_credibility,generation_origin_level,generation_origin_rationale,generation_origin_score,manipulation_score,misinformation_score,notes,reconstructed_credibility_score,scam_score,top_claim_confidence,top_claim_status,uncertainty_score,url,weighted_evidence_quality_penalty,weighted_manipulation_penalty,weighted_misinformation_penalty,weighted_scam_penalty,weighted_total_penalty,weighted_uncertainty_penalty
63.3,-11.9808,,0,17,low,4,59.77,21,4,True,low,Human-generated content likely.,1.28,0.0,20.32,Applied sparse-text score calibration to reduce flat scoring under limited extracted evidence. | Generation origin score calibrated by trained logistic model. | OpenAI claim verification skipped because extracted evidence was too thin; using heuristics. | Sparse extracted text; not_enough_evidence may remain appropriate. | Analysis-confidence score: 48.52. | Evidence-quality penalty score: 59.77.,75.28,10.0,0.52,not_enough_evidence,68.65,https://www.instagram.com/reel/DVfVE6ritM1/,7.1724,0.0,6.9088,2.4,24.7192,8.238
69.56,-10.8188,,0,70,medium,32,47.31,102,32,True,low,Human-generated content likely.,5.03,0.0,15.6,Applied sparse-text score calibration to reduce flat scoring under limited extracted evidence. | Generation origin score calibrated by trained logistic model. | OpenAI claim verification skipped because extracted evidence was too thin; using heuristics. | Rich text context detected (transcript/OCR); thresholds tuned to reduce unnecessary not_enough_evidence. | Analysis-confidence score: 61.87. | Evidence-quality penalty score: 47.31.,80.38,10.0,0.52,not_enough_evidence,52.0,https://www.tiktok.com/@reuters/video/7589372207017626894,5.6772,0.0,5.304,2.4,19.6212,6.24
,,curl: (28) Operation timed out after 180001 milliseconds with 0 bytes received,,,,,,,,,,,,,,,,,,,,https://www.youtube.com/shorts/4Y_y79sZV84,,,,,,
