credibility_score,credibility_vs_reconstructed_delta,evidence_asr_tokens,evidence_caption_tokens,evidence_level,evidence_ocr_tokens,evidence_quality_score,evidence_total_tokens,evidence_transcript_tokens,generation_origin_excluded_from_credibility,generation_origin_level,generation_origin_rationale,generation_origin_score,manipulation_score,misinformation_score,notes,reconstructed_credibility_score,scam_score,top_claim_confidence,top_claim_status,uncertainty_score,url,weighted_evidence_quality_penalty,weighted_manipulation_penalty,weighted_misinformation_penalty,weighted_scam_penalty,weighted_total_penalty,weighted_uncertainty_penalty
56.14,-16.5196,0,13,low,0,77.0,13,0,True,low,Human-generated content likely.,1.24,0.0,20.96,Applied sparse-text score calibration to reduce flat scoring under limited extracted evidence. | Generation origin score calibrated by trained logistic model. | OpenAI claim verification skipped because extracted evidence was too thin; using heuristics. | Sparse extracted text; not_enough_evidence may remain appropriate. | Analysis-confidence score: 20.02. | Evidence-quality penalty score: 77.0.,72.66,10.0,0.52,not_enough_evidence,71.45,https://www.instagram.com/reel/DVQUiv8Eoev/?igsh=NjFhOGMzYTE3ZQ==,9.24,0.0,7.1264,2.4,27.3404,8.574
93.13,-0.004,0,550,high,17,0.0,567,17,True,low,Human-generated content likely.,1.68,0.0,6.5,Generation origin score calibrated by trained logistic model. | Claim verification attempted via OpenAI with heuristic fallback. | Rich text context detected (transcript/OCR); thresholds tuned to reduce unnecessary not_enough_evidence. | Analysis-confidence score: 100.0. | Evidence-quality penalty score: 0.0. | Extracted evidence token count: 567.,93.13,10.0,0.55,supported,18.8,https://www.instagram.com/reel/DTvWvaFj3TP/?igsh=NjFhOGMzYTE3ZQ==,0.0,0.0,2.21,2.4,6.866,2.256
51.74,8.34,0,0,low,0,100.0,0,0,True,low,Human-generated content likely.,1.61,25.0,65.0,Instagram returned a generic app-shell/error page instead of public post metadata. | Instagram transcript auto-ingestion is not enabled yet; using metadata-only analysis. | Could not extract transcript/caption from this link. Returning limited-confidence report. | Ingestion quality: insufficient evidence extracted from source media. | Generation origin score calibrated by trained logistic model. | Analysis-confidence score: 3.0.,43.4,25.0,0.99,not_enough_evidence,100.0,https://www.instagram.com/reel/DVfVE6ritM1/?igsh=NjFhOGMzYTE3ZQ==,12.0,4.5,22.1,6.0,56.6,12.0
51.74,8.34,0,0,low,0,100.0,0,0,True,low,Human-generated content likely.,1.61,25.0,65.0,Instagram returned a generic app-shell/error page instead of public post metadata. | Instagram transcript auto-ingestion is not enabled yet; using metadata-only analysis. | Could not extract transcript/caption from this link. Returning limited-confidence report. | Ingestion quality: insufficient evidence extracted from source media. | Generation origin score calibrated by trained logistic model. | Analysis-confidence score: 3.0.,43.4,25.0,0.99,not_enough_evidence,100.0,https://www.instagram.com/reel/DVbGD6xjyV5/?igsh=NjFhOGMzYTE3ZQ==,12.0,4.5,22.1,6.0,56.6,12.0
